Word,Count
*,1434
the,768
,623
a,194
of,169
to,162
@a,160
in,128
for,108
and,105
expression,100
tree,90
that,77
an,73
pattern,70
@class,59
@brief,59
input,58
node,52
is,52
This,50
user,46
object,43
Ctor,40
role,39
Returns,38
A,36
The,33
command,33
class,32
format,30
this,30
plays,29
current,29
on,29
method,28
precedence,28
it,27
appropriate,27
string,26
left,26
implementation,25
if,25
state,23
Method,23
right,22
using,22
commands,21
all,21
used,21
designated,19
with,19
maps,19
or,19
creates,19
from,19
button,18
parse,18
verbose,18
Print,18
If,17
factory,17
Visitor,17
then,17
child,17
Visit,17
singleton,17
be,16
value,16
radio,16
by,16
not,16
we,16
requested,15
its,15
stack,15
Create,14
It,14
visitor,14
hook,14
context,14
use,13
platform,13
Composite,13
as,13
character,13
Set,13
which,13
Platform,13
Command,13
Factory,12
GUI,12
output,12
group,12
new,12
ExpressionTree,12
nodes,12
Sets,12
Return,12
containing,12
print,12
operator,12
called,11
Defines,11
building,11
TreeOps,11
Process,11
order,11
android,11
interpreter,10
menu,10
operation,10
valid,10
unary,10
will,10
Plays,10
based,10
Creates,10
interface,10
at,10
so,10
into,10
State,9
code,9
implementations,9
EditText,9
action,9
\"\ConcreteCommand"\\,9
set,9
succinct,9
Constructor,9
exception,9
create,9
values,8
provides,8
available,8
contents,8
one,8
update,8
TextView,8
associated,8
operations,8
find,8
desired,8
only,8
designed,8
item,8
Evaluate,8
have,8
Android,8
InputHandler,8
doesn't,8
users,8
line,8
Enables,7
symbol,7
contains,7
was,7
loop,7
\"\Composite"\\,7
Adds,7
pre-order,7
non-terminal,7
variable,7
accept,7
can,7
dynamically,7
next,7
in-order,7
instance,7
methods,7
root,7
there,7
runtime,7
uses,7
respective,7
stored,7
Define,6
Displays,6
GUI),6
iterator,6
NULL,6
tree's,6
without,6
accept(),6
has,6
console,6
parseTree,6
formated,6
are,6
perform,6
between,6
buttons,6
last,6
whether,6
Activates,6
each,6
Tree,6
An,6
evaluation,6
intent,6
Initializes,6
window,6
Strategy,6
application,6
displays,6
through,6
screen,6
mode,6
base,6
command-line,6
Iterator,6
defines,6
number,6
according,6
Retrieves,6
first,6
xml,6
various,5
Implementation,5
Checks,5
post-order,5
case,5
yield,5
data,5
takes,5
op,5
Abstract,5
handling,5
Activity,5
Interpreter,5
traversal,5
Default,5
type,5
trees,5
Format,5
printable,5
capable,5
other,5
children,5
formats,5
call,5
CompositeSubtractNode,5
Template,5
prints,5
their,5
UserCommand,5
Options,5
CommandLinePlatform,5
strategy,5
textview,5
meaning,5
Stack,5
\e.g.,\,5
default,5
commandLine,5
RadioGroup,5
AndroidPlatform,5
process,5
\left,\,4
\Otherwise,\,4
allocates,4
MacroCommand,4
activities,4
binary,4
explicitly,4
dispatching,4
Disables,4
Removes,4
strings,4
variables,4
Note,4
CompositeMultiplyNode,4
disable,4
short,4
message,4
execute(),4
requests,4
algorithm,4
relationships,4
after,4
activity,4
parameter,4
switching,4
gave,4
coordinates,4
out,4
return,4
true,4
request,4
options,4
CompositeAddNode,4
box,4
empty,4
\"\level-order"\\,4
Disable,4
events,4
processing,4
Try,4
build,4
Throws,4
need,4
\"\ConcreteStrategy"\\,4
view,4
\(e.g.,\,4
eval,4
most,4
ComponentNode,4
unknown,4
java,4
where,4
element,4
means,4
layout,4
app,4
running,4
operand,4
pop,4
terminal,4
track,4
being,4
\request,\,4
version,4
option,4
Enables/Disables,4
\platform,\,4
operators,4
toast,4
Keep,4
pre-allocated,4
abstract,4
variant,4
LeafNode,4
others,4
sequence,4
expressions,4
dispatch,4
CompositeDivideNode,4
editText,4
we'll,4
followed,4
adds,4
else,4
wrong,4
Is,4
pushing,4
=,4
but,4
Insert,4
debugging,4
execute,4
subclasses,4
appears,4
Make,4
iteration,4
edittext,4
creating,4
level,4
Iterates,4
higher,3
EvalCommand,3
We,3
iterators,3
no-op,3
import,3
SuccinctModeInputHandler,3
\"\pre-order,"\\,3
Builder,3
purposes,3
prompt,3
ConcreteCreator,3
Provides,3
Formats,3
CompositeNegateNode,3
caller's,3
verbosely,3
cases,3
\strategy,\,3
Number,3
makes,3
define,3
Symbol,3
dialog,3
\children,\,3
top,3
Error,3
Subtract,3
Accepts,3
\format,\,3
Quit,3
later,3
Fields,3
UninitializedState,3
\"\Implementor"\\,3
Button,3
\"\Abstraction"\\,3
EvaluationVisitor,3
validate,3
different,3
corresponding,3
implements,3
PrintVisitor,3
\"\Concrete\,3
ExpressionTreeFactory,3
delegates,3
directly),3
following,3
make,3
Use,3
Java,3
Node,3
executed,3
textual,3
\"\post-order"\,\,3
null,3
Interface,3
caller,3
InOrderInitializedState,3
states,3
Bridge,3
\inheritance,\,3
throw,3
Map,3
\"\in-order,"\\,3
checked,3
queue,3
before,3
bar,3
Call,3
every,3
subclass,3
that's,3
patterns,3
off,3
down,3
Stores,3
event,3
contain,3
responsible,3
been,3
previous,3
we're,3
Negate,3
field,3
0,3
checkbox,3
like,3
false,3
parent,3
log,3
constructor,3
revisit,3
VerboseModeInputHandler,3
performs,3
front,3
here:,2
successful,2
than,2
\first,\,2
table,2
\Strategy,\,2
some,2
recently,2
position,2
parameters:,2
quit,2
radiogroup,2
(debugging),2
@,2
temp,2
(higher,2
objects,2
non-negations,2
Allows,2
intakes,2
Inputs,2
you,2
useful,2
visited,2
post,2
activity_main,2
should,2
back,2
macro,2
ExprCommand,2
old,2
returns,2
don't,2
RadioButtons,2
Verbose,2
main,2
activity(An,2
previously,2
commandLine),2
\operations,\,2
returning,2
Back,2
minus,2
\symbol,\,2
Continuously,2
Accessor,2
virtual,2
items,2
Parse,2
\"\in-order"\\,2
click,2
check,2
visitors,2
\Bridge,\,2
Resets,2
Add,2
calculate,2
(An,2
char,2
Since,2
we've,2
does,2
\"\ConcreteVisitor"\\,2
QuitCommand,2
Depending,2
Specific,2
'-',2
commandLIne,2
(returns,2
level-order,2
Base,2
runs,2
prior,2
Pre-order,2
Initialize,2
menu;,2
\"\Context"\\,2
Tracks,2
HashMap,2
both,2
LevelOrderIterator,2
\Method,\,2
removes,2
operands,2
start,2
Clears,2
error,2
recognized,2
Holds,2
multiple,2
content,2
boolean,2
\Iterator,\,2
implement,2
\"\post-order"\\,2
succinct),2
PreOrderIterator,2
pointer,2
work,2
triggers,2
optimization,2
\evaluated,\,2
Requested,2
(A,2
also,2
startIndex,2
override,2
generic,2
It's,2
same,2
\nodes,\,2
(to,2
when,2
overridden,2
No-op,2
/,2
results,2
about,2
selected,2
Reference,2
no,2
how,2
name,2
isn't,2
\"\eval"\\,2
(negate),2
VisitorFactory,2
implemented,2
functionality,2
UnaryOperator,2
given,2
high,2
Divide,2
\expression,\,2
any,2
answer,2
Inflate,2
SymbolTable,2
determined,2
\Strategy"\\,2
Contains,2
Iterate,2
InputDispatcher,2
SetCommand,2
calculator,2
Transition,2
result,2
Inserts,2
launching,2
stores,2
determine,2
names,2
expr,2
FormatCommand,2
placeholder,2
\below,\,2
two,2
concrete,2
created,2
end,2
\"\print"\\,2
PrintCommand,2
negations,2
InOrderIterator,2
target,2
Moves,2
fits,2
Provide,2
had,2
density,2
left-to-right,2
less,2
\file,\,2
serves,2
IteratorFactory,2
-,2
\LIFO,\,2
retrieve,2
prompts,2
Locate,2
generating,2
traversalOrder,2
total,2
PostOrderIterator,2
\"\macro"\\,2
our,2
platforms,2
it's,2
handles,2
requesting,2
private,2
(no-op,2
map,2
present,2
information,2
Proceeds,2
'Enter',2
While,1
logging,1
send,1
correctly,1
\(EditText),\,1
CalculatorGUISuccint,1
Value,1
modifies,1
pass,1
Changes,1
basis,1
Mult,1
initialize,1
Multiple,1
userInputExpression,1
\-5,\,1
things,1
Prints,1
Vector,1
Then,1
retrieves,1
PreOrderUninitializedState,1
owned,1
aid,1
bulk,1
masterParseTree,1
groups,1
allow,1
iterator),1
SynchronizedExpressionTree,1
spaces,1
CheckBox,1
uninitilized,1
(via,1
gnu.getopt.Getopt;,1
already,1
recognize,1
go,1
starting,1
activated,1
additional,1
program,1
Lookup,1
formatted,1
inside,1
sublcasses,1
place,1
key=value,1
if-statement,1
ensures,1
keyword,1
now),1
Evaluates,1
TreeIteratorFactory,1
affect,1
implementor,1
incoming,1
LeadNode,1
needs,1
unchecks,1
\pattern,\,1
Commented,1
numberPrecedence,1
Visits,1
4,1
inheritance),1
(activity),1
character),1
Division,1
found,1
MainConsole,1
Implemented,1
Receives,1
\(TextView),\,1
+,1
Operator,1
\"\pre-order"\\,1
\"\Succinct\,1
evalVisitor,1
treeOps,1
difference,1
whitespace,1
Multiplication,1
either,1
menU),1
\"\set"\\,1
Addition,1
tweaked,1
underlying,1
Check,1
sets,1
Get,1
passed,1
overrides,1
\"\Command"\\,1
specified,1
prompting,1
Radio,1
Determines,1
Presents,1
three,1
'123',1
allows,1
operators/operands,1
invoked,1
statement:,1
Invoke,1
Accounts,1
Eval,1
get,1
Right,1
statement,1
j,1
makehandler,1
MainActivity,1
want,1
clickable,1
\2,\,1
mode),1
\"\Interpreter"\\,1
accumulatedPrecedence,1
Radiobuttons,1
\command-line,\,1
\InputHandler,\,1
newtree,1
finds,1
Same,1
side,1
encapsulates,1
InstrumentedExpressionTree,1
revealing,1
2,1
negate),1
\"\format"\\,1
actions,1
Intepreter,1
Precedence,1
list,1
(throws,1
onCreate,1
split,1
recursive,1
By,1
-right,1
separate,1
calculations,1
add,1
current.right_,1
inputed,1
ops,1
\i.e.,\,1
template,1
executes,1
activate,1
consts,1
Scope,1
integer,1
nothing,1
usage,1
entry,1
didn't,1
etc.),1
LevelOrderInitializedState,1
handle,1
Handles,1
original,1
\"\The\,1
(options,1
toggled,1
better,1
completely,1
grabbing,1
adding,1
protected,1
manner,1
onto,1
correct,1
prompted,1
machine,1
they,1
Store,1
Alert,1
instead,1
builds,1
subtract,1
conduct,1
traveralOrder,1
java.util.*;,1
instantiation,1
choice,1
\"\expr"\\,1
True,1
Explanation,1
Update,1
resides,1
visitorRequest,1
precludes,1
welcome,1
outside,1
\FormatCommant,\,1
printVisitor,1
\command,\,1
function,1
*Ctor,1
besides,1
converts,1
Most,1
CalculatorGUIVerbose,1
member,1
\things,\,1
(negation),1
No,1
going,1
giving,1
unnecessary,1
run,1
creation,1
Classifies,1
Accept,1
\Inc."\\,1
evaluated,1
(optional),1
worry,1
steps,1
Merge,1
e.g,1
point,1
rid,1
Composite-based,1
allocate,1
API,1
Runs,1
Initial,1
related,1
(Number),1
pressed,1
currently,1
Push,1
printvisitor,1
\"\Oracle\,1
\Mode"\\,1
digits,1
making,1
Box,1
single,1
linked,1
Dynamically,1
care,1
++startIndex,1
Handle,1
Keeps,1
reach,1
Run,1
proper,1
Input,1
evaluate,1
\Project"\\,1
handler,1
Parses,1
\"\Leaf"\\,1
(123),1
'>',1
newLine,1
*no-op,1
*Nothing,1
eventhandler,1
\successfully,\,1
TextViewVariable,1
divide,1
'key='),1
\"\Sun\,1
int,1
shows,1
setup,1
arbitrary,1
'+',1
shut,1
For,1
such,1
gui,1
iterated,1
\least,\,1
synchronizing,1
Each,1
\input,\,1
'=value'),1
consecutive,1
succint,1
do,1
Instructs,1
Character,1
display,1
certain,1
CompositeBinaryNode,1
outputChar,1
calling,1
java.nio.*;,1
fashion,1
via,1
Checks/Unckecks,1
String,1
excessive,1
\Corporation"\\,1
messages,1
Saves,1
newformat,1
Handling,1
text,1
Are,1
outputting,1
\instance,\,1
greater,1
switch,1
printout,1
(like,1
'/',1
Subtraction,1
integral,1
lines,1
traversalOrderRequest,1
component,1
several,1
\"\1+2*3"\\,1
Clear,1
etc),1
delegate,1
hash,1
optimize,1
Builds,1
them,1
done,1
addition,1
\Singleton,\,1
\1,\,1
UserCommandFactory,1
never,1
lot,1
obtain,1
assign,1
alert,1
parent(it's,1
chars,1
\child,\,1
Handler,1
To,1
Skip,1
makeExpressionTree(),1
members,1
client,1
one),1
processed,1
\parent,\,1
exposed,1
infinite,1
static,1
CompositeUnaryNode,1
eg,1
End,1
\"\State"\\,1
PostOrderInitializedState,1
uniqueInstance,1
defined,1
NullCommand,1
\"\yield"\\,1
Everything,1
thus,1
Execute,1
\so,\,1
keep,1
here,1
parentheses,1
\Class"\\,1
actually,1
RadioButton,1
inputString,1
thrown,1
PlatformFactory,1
5,1
easily,1
\Android,\,1
@see,1
componentNodeRoot,1
bounds,1
charAt(),1
(not,1
(succinct,1
depth,1
succinctly,1
Integer,1
onStart,1
\this,\,1
purpose,1
\number,\,1
multiply,1
UninitializedStateFactory,1
Microsystems,1
Queue,1
simple,1
pure,1
requires,1
\class,\,1
There's,1
\(5,4)\,1
prefixing,1
Groups,1
JVM,1
'*',1
\parseTree,\,1
evaluating,1
accordingly,1
within,1
possible,1
interpret(),1
there's,1
initialized,1
verbose),1
symbolTable,1
choices,1
node's,1
Output,1
widgets,1
derive,1
Inputstring,1
precedence),1
commandMenu,1
parameters,1
recent,1
characters,1
\"\Visitor"\\,1
(and,1
organizes,1
Singleton,1
finish,1
arguments,1
during,1
classes,1
(Succint,1
active,1
encapsulated,1
symbols,1
Build,1
levels,1
reused,1
textView,1
Operation,1
EditTextVariable,1
up,1
Expression,1
numbers,1
(but,1
\ExpressionTree,\,1
Left,1
fro,1
Multiply,1
ourselves,1
Does,1
unaryoperator,1
replacing,1
\-7,\,1
Hash,1
until,1
supports,1
guide,1
particular,1
\"\Component"\\,1
temp->right,1
\"\quit"\\,1
[in-order],1
newstate,1
inheritance,1
\parameters,\,1
protocol,1
\negations,\,1
